video_id,0.0,1.0,2.0
mLmPajA_3Gg,0,238,91
fw02hy6vqaQ,2,95,10
DRo7i4jQ3Z8,0,123,18
OexdHszpU00,1,123,23
aoFeasRsiyk,1,241,68
KMdlKttaWJY,0,81,14
GOz2qHVKKC8,1,282,40
4NWNhzcRRtg,0,196,23
rcgrVgVlV5c,0,120,9
2gVWXkHSpL0,0,118,18
SjtMbfXcc6U,3,406,76
28oGGAiNtrU,2,257,40
oL9OX4e2Kl4,3,370,90
NTEgu8uWS1I,3,254,55
QswEGJs4a74,2,195,44
Psj74U61H1Y,2,143,15
SLpU2LGv54g,3,412,198
IJ24VtLd1jU,2,198,34
M_WD9Dxayk8,3,222,47
i7J4C8LHE6Y,0,136,35
7brb9WzD1YE,3,278,37
N-gpD9QqTK0,3,234,122
OWlik0yAwoc,4,340,127
793McC23idc,0,81,14
sn3TkLmnI-k,7,271,38
NgaZHtCr_a0,1,338,70
rDJCBxFDyGc,0,116,20
CRvD8dOBmx8,7,252,45
0jjopJXQvqo,0,93,10
92-IbWKp_3k,2,266,31
3i3cDuGayqg,2,250,40
qVH3OuNERKA,1,101,13
YTEyZlwD3K0,1,86,19
VhIlgjHKRB4,1,98,9
wX-TrSDnAys,0,195,74
WCSlGe_2tpM,0,167,34
M2B-FuaDTcA,1,228,40
cJD4fc5l3fM,0,251,39
mzeh6lWhFi4,2,243,46
JadA4PKvyHA,1,222,25
9XUlDjvHAM4,1,123,10
k7X2CE5LXds,2,121,13
_0fcf0tFLzw,0,165,24
Pu3TLc4qitE,1,111,5
GzW3FIP2gIo,2,149,26
KGb_j1E7XO8,0,180,28
0Q8fkicguR8,1,204,26
7ALJRNYsgF8,2,107,14
ykkAMhoSsmg,0,107,14
Kp27BlfAl3Y,3,317,46
RvMcyBS8SgU,0,187,74
MLBhMV8k6e0,4,194,25
RKL-XYdf9iM,0,80,11
V_2_CPiTDR4,0,339,135
5cW2Kj4_7HY,2,241,74
lj_IhcnKbCw,3,111,15
zc3A_CxSyc4,1,291,41
6S3pp7oLmog,3,473,67
tce4fo144HA,1,103,14
4YeglUKmVK4,1,115,10
WVAOQ5HPSq4,0,358,56
MZxiqm-JkfY,3,620,104
ZNx9sLEZ0e8,0,164,26
SYcnSZfXwWw,1,47,30
M5LfC13vTIg,1,274,41
K4zx4kx7X7M,1,159,16
JYULx2AItoI,0,32,13
7TdSEX4JFdw,0,208,33
IHNKnPgbBGM,0,131,24
DLebW_0gwoc,0,140,26
CG1zZxZa3KE,3,124,19
xEnYZ55FCG8,2,388,57
E-JMv4ebt18,0,142,16
7v7EBziokmM,0,136,21
ndx5BhSUIXY,1,312,68
p_u50y858kY,2,402,49
zlPqZF-48to,0,147,27
Qyh8ZArkHMs,1,125,23
h_HWvUV_mCQ,2,97,13
w3Lacg8bqZI,2,267,76
89GcK3RZL5I,1,187,25
DLagw6VWFSI,2,220,28
e594UM7wFMI,0,121,16
GjtcXliMKjM,3,208,24
ykx1TFsECIQ,1,177,18
mm8lI7HrEHA,1,182,20
cRmhNeBjap4,3,438,69
fCbjgpgXa4A,0,154,33
FDMDKktG75I,2,180,34
rMBaVOW4AE8,1,285,32
ILRRwwnbLyc,0,195,28
0f4SSs4ZGnI,0,127,14
BXJ9oVAEmoU,4,299,47
hK-s3LsZcFc,2,252,39
LrNiiFPKA90,0,86,18
d8vM_9sWypg,1,301,51
ENSLITZnc6w,1,371,62
hoOxuB9qOLk,0,110,15
5AJd2FJUVkc,0,179,22
CIuJyujz3Mc,2,139,15
