video_id,0.0,1.0,2.0
mLmPajA_3Gg,0,220,110
fw02hy6vqaQ,2,93,12
DRo7i4jQ3Z8,1,126,14
OexdHszpU00,1,124,27
aoFeasRsiyk,0,246,67
KMdlKttaWJY,1,72,7
GOz2qHVKKC8,0,281,43
4NWNhzcRRtg,0,195,24
rcgrVgVlV5c,2,125,9
2gVWXkHSpL0,1,119,16
SjtMbfXcc6U,1,406,78
28oGGAiNtrU,2,259,38
oL9OX4e2Kl4,3,371,85
NTEgu8uWS1I,2,263,43
QswEGJs4a74,0,195,32
Psj74U61H1Y,0,160,9
SLpU2LGv54g,2,415,196
IJ24VtLd1jU,4,186,44
M_WD9Dxayk8,3,225,44
i7J4C8LHE6Y,1,144,26
7brb9WzD1YE,2,274,42
N-gpD9QqTK0,1,250,108
OWlik0yAwoc,4,347,116
793McC23idc,1,79,15
sn3TkLmnI-k,7,254,49
NgaZHtCr_a0,0,336,71
rDJCBxFDyGc,1,108,22
CRvD8dOBmx8,7,253,44
0jjopJXQvqo,0,93,10
92-IbWKp_3k,0,268,31
3i3cDuGayqg,3,252,37
qVH3OuNERKA,0,94,20
YTEyZlwD3K0,2,84,19
VhIlgjHKRB4,1,102,17
wX-TrSDnAys,3,159,110
WCSlGe_2tpM,1,150,38
M2B-FuaDTcA,2,218,44
cJD4fc5l3fM,1,250,42
mzeh6lWhFi4,2,246,41
JadA4PKvyHA,2,221,25
9XUlDjvHAM4,1,121,12
k7X2CE5LXds,0,125,12
_0fcf0tFLzw,0,170,22
Pu3TLc4qitE,0,110,13
GzW3FIP2gIo,3,152,20
KGb_j1E7XO8,0,164,32
0Q8fkicguR8,3,203,25
7ALJRNYsgF8,0,108,15
ykkAMhoSsmg,1,112,10
Kp27BlfAl3Y,3,315,48
RvMcyBS8SgU,2,203,56
MLBhMV8k6e0,3,189,31
RKL-XYdf9iM,0,80,13
V_2_CPiTDR4,0,345,133
5cW2Kj4_7HY,1,245,71
lj_IhcnKbCw,0,112,13
zc3A_CxSyc4,3,277,48
6S3pp7oLmog,5,468,70
tce4fo144HA,0,107,12
4YeglUKmVK4,2,112,12
WVAOQ5HPSq4,3,359,59
MZxiqm-JkfY,6,616,105
ZNx9sLEZ0e8,2,174,22
SYcnSZfXwWw,2,46,30
M5LfC13vTIg,2,286,37
K4zx4kx7X7M,1,160,15
JYULx2AItoI,0,33,12
7TdSEX4JFdw,1,200,40
IHNKnPgbBGM,0,142,31
DLebW_0gwoc,0,139,27
CG1zZxZa3KE,4,123,19
xEnYZ55FCG8,0,403,51
E-JMv4ebt18,0,142,16
7v7EBziokmM,2,134,21
ndx5BhSUIXY,0,306,74
p_u50y858kY,0,414,48
zlPqZF-48to,0,153,21
Qyh8ZArkHMs,2,122,24
h_HWvUV_mCQ,0,105,7
w3Lacg8bqZI,0,288,59
89GcK3RZL5I,1,193,19
DLagw6VWFSI,1,220,28
e594UM7wFMI,1,118,16
GjtcXliMKjM,1,195,38
ykx1TFsECIQ,0,174,23
mm8lI7HrEHA,0,181,21
cRmhNeBjap4,6,428,78
fCbjgpgXa4A,2,152,22
FDMDKktG75I,3,178,35
rMBaVOW4AE8,3,267,35
ILRRwwnbLyc,0,193,30
0f4SSs4ZGnI,0,128,13
BXJ9oVAEmoU,4,297,49
hK-s3LsZcFc,3,247,44
LrNiiFPKA90,0,93,19
d8vM_9sWypg,3,296,53
ENSLITZnc6w,1,372,61
hoOxuB9qOLk,1,110,16
5AJd2FJUVkc,0,179,22
CIuJyujz3Mc,0,140,17
